"","txtChar","Freq"
"363","SNORD115-11,SNORD115-29,SNORD115-36,SNORD115-43",1
"364","SNORD116-5,SNORD116-7",1
"365","SNX2",1
"366","SNX20",2
"367","SOD3",1
"368","SORCS2",1
"369","SOX4",1
"370","SP140",1
"371","SPATA18",1
"372","SPATA3",1
"373","SPCS3",1
"374","SPIRE2",1
"375","SPOCD1",1
"376","SPPL2B",1
"377","SPRR2B",1
"378","ST3GAL2",1
"379","SYT12",1
"380","SYT15",2
"381","TACC2",1
"382","TBC1D19",1
"383","TBC1D29",1
"384","TBCB",1
"385","TEAD4",1
"386","TET1",1
"387","TEX21P",1
"388","TFAP2A",1
"389","TGM6",1
"390","TMEM14A",1
"391","TMEM260",1
"392","TMEM63C",2
"393","TMEM70",1
"394","TMSB4X",1
"395","TNFRSF13B",1
"396","TNNC1",2
"397","TOLLIP-AS1",1
"398","TOMM34",1
"399","TPBGL",1
"400","TRIM62",1
"401","TRMT12",1
"402","TTC13",1
"403","TTC8",1
"404","TYSND1",1
"405","TYW1B",1
"406","UBA3",1
"407","UBAC1",2
"408","UBL7",1
"409","ULBP2",1
"410","ULK4",1
"411","UNC13A",1
"412","UNC5B",1
"413","USP17L13",1
"414","USP31",1
"415","USP48",1
"416","VAC14",1
"417","VSNL1",1
"418","WARS",1
"419","WDR26",1
"420","WFDC11",1
"421","YBX3P1",1
"422","YY1P2",1
"423","ZC4H2",1
"424","ZFP1",1
"425","ZFP30",1
"426","ZKSCAN2",1
"427","ZNF180",1
"428","ZNF300",1
"429","ZNF334",1
"430","ZNF346",1
"431","ZNF382",1
"432","ZNF471",1
"433","ZNF565",1
"434","ZNF713",1
"435","ZNF775",1
"436","ZNF883",1
"437","ZP3",1
"438","ZRANB2-AS2",1
